Age,Income,Loan_Amount,Credit_Score,Employment_Years,Education_Level,Housing_Status,Default
49,39029.0,43278,737,3,Masters,Own,0
63,30789.0,33138,364,6,PhD,Mortgage,0
31,140430.0,32065,655,21,Bachelors,Mortgage,1
38,132250.0,34956,832,9,Masters,Mortgage,0
32,116646.0,46732,551,6,Bachelors,Own,0
29,61157.0,44261,534,20,High School,Mortgage,0
30,91895.0,15759,526,14,Masters,Own,0
64,86656.0,10439,824,14,High School,Mortgage,0
37,79379.0,47533,612,3,Bachelors,Own,0
58,74917.0,33270,348,22,Bachelors,Mortgage,0
27,122916.0,18279,417,22,PhD,Rent,1
33,91895.0,44279,353,5,Bachelors,Rent,0
60,76819.0,49251,343,23,High School,Rent,0
62,84484.0,28888,352,19,Bachelors,Rent,0
29,61157.0,22630,824,25,PhD,Mortgage,1
47,76819.0,40144,401,4,PhD,Rent,0
22,25408.0,36182,697,19,High School,Own,0
25,60631.0,30538,437,11,Masters,Rent,0
49,63872.0,16824,686,0,Bachelors,Rent,0
57,49486.0,37125,410,27,PhD,Rent,0
58,123677.0,11979,316,7,Bachelors,Mortgage,0
39,52154.0,31189,481,0,Bachelors,Rent,1
28,149038.0,47600,835,4,Masters,Own,1
21,31302.0,17504,840,21,PhD,Rent,0
42,63872.0,25669,470,5,Bachelors,Rent,1
37,39029.0,11910,708,28,PhD,Rent,0
27,63872.0,39964,677,20,High School,Own,0
45,64028.0,25131,487,2,High School,Rent,0
24,76819.0,30227,529,14,Bachelors,Own,0
56,49486.0,10978,418,4,PhD,Own,0
26,87779.0,26991,455,27,Bachelors,Rent,0
51,74917.0,22153,764,23,PhD,Own,0
39,30789.0,38548,403,13,PhD,Mortgage,0
64,45053.0,47676,801,17,Masters,Rent,0
59,91324.0,44071,474,15,Masters,Rent,0
47,63872.0,8983,720,5,Masters,Own,0
30,84484.0,14503,433,24,Bachelors,Own,0
46,87779.0,34921,690,23,Masters,Rent,1
39,91895.0,21905,800,13,Masters,Mortgage,0
59,66197.0,28953,332,26,High School,Own,0
23,76819.0,31806,354,23,PhD,Own,1
33,75180.0,27168,818,7,PhD,Mortgage,0
48,49486.0,9583,311,28,Masters,Mortgage,0
40,117720.0,43714,827,6,PhD,Rent,0
48,145733.0,44896,672,7,High School,Mortgage,0
28,52265.0,16889,783,12,High School,Rent,0
61,64028.0,32413,527,5,Masters,Mortgage,0
59,132250.0,17275,606,17,High School,Own,0
21,112738.0,7461,756,1,PhD,Rent,0
23,61157.0,19291,459,7,Bachelors,Rent,0
33,75180.0,16435,630,10,PhD,Rent,0
48,49486.0,32935,524,0,Bachelors,Mortgage,0
45,149038.0,38453,803,21,Masters,Own,0
53,22336.0,23544,755,28,Bachelors,Rent,0
58,71356.0,17258,344,5,High School,Rent,0
26,145733.0,35841,513,15,PhD,Rent,0
64,44519.0,15736,358,26,Bachelors,Rent,0
52,123677.0,42643,494,19,PhD,Own,0
41,75180.0,48950,788,11,Masters,Mortgage,0
36,102870.0,39964,456,10,Masters,Own,0
41,136553.0,33044,525,28,High School,Rent,1
31,22336.0,44933,711,26,Masters,Own,0
57,79379.0,20997,504,28,Bachelors,Rent,0
56,52265.0,19215,378,9,Masters,Mortgage,1
55,24018.0,38069,423,2,High School,Mortgage,0
39,100910.0,28911,770,12,PhD,Mortgage,0
40,76819.0,22030,517,26,PhD,Rent,0
38,52154.0,34334,815,2,Masters,Own,0
61,107487.0,19571,403,14,Bachelors,Mortgage,0
34,136553.0,47719,692,15,High School,Rent,0
35,24018.0,33927,733,28,Bachelors,Rent,0
51,123677.0,25714,630,12,High School,Own,0
21,76819.0,48541,442,16,Masters,Mortgage,0
23,91907.0,28387,839,2,High School,Rent,0
36,64028.0,33444,577,19,High School,Own,0
43,84435.0,24921,532,10,Masters,Mortgage,0
31,66197.0,18057,828,26,Bachelors,Own,0
32,25408.0,29858,389,20,Masters,Own,1
30,63872.0,49638,791,18,High School,Rent,0
52,22336.0,31062,498,21,Masters,Rent,0
36,39029.0,41850,661,10,High School,Rent,0
28,30789.0,25567,740,29,Masters,Own,0
58,49486.0,34739,325,27,PhD,Rent,0
32,79201.0,48285,324,15,PhD,Own,0
44,91895.0,8754,693,20,Masters,Own,0
48,74917.0,32044,806,2,Bachelors,Rent,0
28,45053.0,6724,600,21,High School,Mortgage,0
48,102870.0,6376,638,5,PhD,Mortgage,0
56,112738.0,13706,566,13,Bachelors,Mortgage,1
46,44519.0,13894,760,23,High School,Own,0
28,66197.0,23037,755,17,PhD,Own,0
48,123677.0,23450,659,16,PhD,Own,0
48,39029.0,21406,367,3,Masters,Rent,0
57,84484.0,34725,711,22,High School,Own,0
61,140430.0,10926,790,14,Bachelors,Rent,0
56,102870.0,44019,348,10,Bachelors,Rent,0
47,122916.0,14496,401,25,Bachelors,Mortgage,0
37,52154.0,41068,515,2,High School,Mortgage,0
29,118723.0,34806,737,2,Bachelors,Mortgage,0
53,87506.0,27663,458,15,Bachelors,Rent,0
40,29446.0,46321,788,4,Bachelors,Rent,0
33,123677.0,41495,541,20,Masters,Rent,0
48,52265.0,27656,304,28,Masters,Own,0
49,60631.0,30860,660,9,High School,Rent,0
33,87506.0,21832,758,18,High School,Mortgage,1
55,64028.0,43787,547,24,Bachelors,Mortgage,0
26,25408.0,26727,721,3,Masters,Rent,0
38,107487.0,47815,314,28,PhD,Rent,0
25,118723.0,34545,421,28,PhD,Mortgage,0
45,25408.0,49522,576,18,Bachelors,Rent,0
22,44519.0,7520,752,10,Bachelors,Mortgage,0
30,82254.04771573604,8081,689,1,Masters,Own,1
50,118723.0,39196,593,9,Masters,Mortgage,0
25,86656.0,41735,745,28,Masters,Own,0
53,79379.0,44213,509,10,High School,Rent,0
21,60631.0,19566,601,24,High School,Rent,0
38,100910.0,19042,522,19,Bachelors,Own,0
52,148876.0,30498,302,15,High School,Rent,0
31,52154.0,16329,817,18,Masters,Own,1
41,107487.0,36656,392,22,Masters,Rent,0
46,52265.0,7159,819,23,High School,Mortgage,0
45,79201.0,42900,727,10,PhD,Rent,0
42,107487.0,24363,792,13,Bachelors,Mortgage,0
47,112738.0,48241,534,1,PhD,Mortgage,0
33,52154.0,24033,460,22,Bachelors,Own,0
53,116809.0,15805,630,27,PhD,Rent,0
54,87779.0,40851,632,4,High School,Own,0
61,74917.0,31832,349,26,Bachelors,Rent,1
55,148876.0,18944,822,4,Bachelors,Mortgage,1
21,140430.0,24873,791,18,Bachelors,Mortgage,0
41,123677.0,45372,571,20,Masters,Rent,0
26,149038.0,28928,551,11,Masters,Rent,0
48,116809.0,20379,389,17,PhD,Own,0
37,71356.0,41751,745,3,High School,Rent,0
25,86656.0,39546,631,21,Masters,Rent,0
51,39029.0,29286,438,16,Bachelors,Rent,0
25,91907.0,10110,656,9,Masters,Own,0
58,39029.0,17087,573,19,High School,Rent,0
23,52154.0,28762,318,5,Masters,Mortgage,0
43,87506.0,22081,610,24,Bachelors,Own,0
57,25408.0,39947,453,13,PhD,Own,0
57,79201.0,14596,689,10,Bachelors,Mortgage,0
30,76819.0,43019,559,10,High School,Mortgage,0
30,66197.0,47003,424,28,PhD,Mortgage,1
39,136553.0,23313,653,17,Masters,Rent,0
37,140430.0,6013,572,26,Masters,Mortgage,0
41,52154.0,28705,544,22,Masters,Rent,0
34,52154.0,6828,749,21,PhD,Own,1
29,116809.0,12909,546,17,Bachelors,Own,0
21,123677.0,43356,819,23,PhD,Mortgage,0
33,24018.0,18109,440,22,PhD,Rent,1
24,148876.0,7023,661,10,High School,Mortgage,0
21,100910.0,19537,307,20,PhD,Mortgage,1
60,29446.0,31661,777,11,Masters,Rent,1
52,118723.0,43659,651,4,Bachelors,Mortgage,1
54,116809.0,38848,794,22,Bachelors,Own,0
48,64028.0,42804,726,8,Bachelors,Mortgage,0
51,31302.0,20379,338,26,Masters,Rent,0
28,25408.0,32766,486,24,Masters,Rent,0
59,43710.0,48590,392,8,Masters,Own,0
46,84484.0,7563,385,21,Masters,Rent,0
54,52154.0,41060,343,9,Masters,Rent,0
23,20922.0,34197,436,21,PhD,Own,0
32,148876.0,8586,720,18,Masters,Mortgage,0
21,91324.0,21087,373,0,Masters,Own,0
64,122916.0,28225,847,6,Masters,Mortgage,0
25,29446.0,34750,811,3,Masters,Own,0
50,74917.0,11643,455,0,Bachelors,Mortgage,0
50,45053.0,32523,554,14,Masters,Own,0
37,61157.0,41727,470,7,PhD,Mortgage,0
43,31302.0,16005,469,11,PhD,Own,0
35,82254.04771573604,48543,621,21,PhD,Mortgage,0
57,132250.0,5161,755,21,High School,Own,0
41,140430.0,21029,454,17,Bachelors,Rent,0
34,39029.0,19226,648,14,Masters,Mortgage,1
22,79201.0,33731,750,16,High School,Own,0
31,84435.0,48922,472,28,Masters,Mortgage,0
59,117720.0,49848,309,13,High School,Mortgage,0
58,30789.0,8390,564,13,High School,Own,0
54,107487.0,10997,737,17,PhD,Mortgage,0
58,79379.0,17693,546,19,PhD,Own,0
54,140430.0,47092,845,17,High School,Rent,0
38,43710.0,5541,798,15,PhD,Mortgage,0
50,91324.0,26817,428,0,High School,Rent,0
35,64028.0,42861,626,22,Bachelors,Mortgage,0
47,116646.0,18428,703,26,PhD,Mortgage,0
54,91907.0,48934,658,10,PhD,Mortgage,1
58,117720.0,15258,316,14,PhD,Own,0
53,25408.0,21044,573,11,Bachelors,Rent,0
44,52154.0,34411,415,7,High School,Mortgage,0
35,116646.0,10469,390,21,Masters,Own,0
50,140430.0,33854,381,19,PhD,Mortgage,0
62,64028.0,11256,623,29,High School,Own,0
37,91907.0,15720,413,5,Bachelors,Mortgage,0
25,60631.0,38937,357,2,Masters,Rent,0
49,112738.0,38598,453,27,PhD,Rent,0
24,31302.0,6651,703,23,Bachelors,Mortgage,0
30,52154.0,24194,565,25,Bachelors,Own,1
37,43710.0,30051,614,29,Masters,Mortgage,0
30,30789.0,32386,340,12,High School,Own,0
37,31302.0,14518,404,12,PhD,Mortgage,0
40,29446.0,21184,492,1,PhD,Own,0
44,91907.0,38787,700,4,High School,Rent,1
25,140430.0,26621,577,16,High School,Mortgage,0
54,117720.0,15028,653,5,High School,Rent,0
26,102870.0,17448,555,1,Masters,Rent,0
22,100910.0,39051,398,3,Masters,Mortgage,0
33,112738.0,35447,581,21,PhD,Mortgage,0
63,25408.0,23394,702,25,Masters,Own,0
63,43710.0,39501,408,10,Bachelors,Own,0
31,29446.0,35254,498,7,PhD,Rent,1
43,52265.0,23509,602,11,Masters,Own,0
36,103122.0,19472,626,7,High School,Own,0
51,132250.0,8471,453,10,Bachelors,Mortgage,0
31,91895.0,46796,704,21,High School,Own,0
36,118723.0,35268,761,19,PhD,Rent,0
28,24018.0,13329,431,7,High School,Own,0
24,30789.0,39865,383,28,Masters,Rent,0
60,116646.0,33272,698,7,Masters,Mortgage,0
24,116809.0,47845,408,25,PhD,Rent,1
45,76819.0,11397,520,29,High School,Own,0
23,25408.0,37373,667,16,PhD,Mortgage,0
52,116646.0,40525,446,19,High School,Own,0
23,20922.0,29570,411,19,Bachelors,Mortgage,1
47,79379.0,23284,793,22,Masters,Mortgage,0
49,102870.0,23994,804,15,PhD,Own,0
52,79379.0,28284,774,13,Bachelors,Own,0
39,91907.0,22833,570,29,Bachelors,Mortgage,1
41,148876.0,30122,720,10,PhD,Mortgage,1
25,22336.0,10017,666,6,PhD,Own,0
38,132250.0,21370,579,15,Bachelors,Rent,0
48,123677.0,34252,582,12,High School,Own,0
62,116809.0,12999,339,26,Bachelors,Mortgage,0
42,49486.0,27436,488,14,PhD,Own,0
41,117720.0,47963,463,23,Bachelors,Rent,0
26,87779.0,7096,835,15,High School,Own,1
21,132250.0,30279,835,26,Masters,Mortgage,0
25,66197.0,48363,303,20,Masters,Own,0
61,116646.0,31201,589,22,Bachelors,Mortgage,0
32,116809.0,24715,732,23,High School,Mortgage,0
46,118723.0,34309,770,8,Masters,Own,0
54,149038.0,20078,480,2,Bachelors,Mortgage,0
34,30789.0,10105,547,18,Bachelors,Mortgage,0
46,66197.0,34312,578,19,High School,Rent,1
47,25408.0,7839,553,4,PhD,Rent,0
29,107487.0,8384,480,9,Bachelors,Rent,0
46,91907.0,48619,808,16,PhD,Rent,0
42,123677.0,47821,625,14,PhD,Mortgage,0
50,140430.0,18493,656,22,Masters,Own,0
63,91324.0,22069,690,24,PhD,Mortgage,0
37,118723.0,12531,384,7,High School,Mortgage,0
46,84484.0,42051,616,14,Masters,Mortgage,0
56,29446.0,12736,511,20,Masters,Own,0
21,87779.0,12710,814,29,Masters,Rent,0
28,44519.0,6619,683,13,Bachelors,Mortgage,0
55,63872.0,18975,641,19,Bachelors,Mortgage,1
35,123677.0,28252,337,27,PhD,Rent,0
42,60631.0,20261,810,6,Masters,Mortgage,0
34,87779.0,6431,719,20,Masters,Own,1
46,24018.0,14067,468,22,High School,Mortgage,0
48,87779.0,42481,642,11,PhD,Mortgage,0
43,87779.0,32037,605,16,High School,Rent,1
34,66197.0,14557,841,16,PhD,Mortgage,0
44,76819.0,14435,836,9,PhD,Mortgage,1
22,102870.0,42766,411,29,Bachelors,Own,1
46,87779.0,5162,710,28,Bachelors,Rent,0
34,76819.0,39742,505,18,High School,Rent,0
27,86656.0,24675,484,13,PhD,Own,0
23,118723.0,13461,681,10,Masters,Mortgage,0
43,136553.0,22015,795,1,Bachelors,Rent,0
63,24018.0,37591,678,17,Masters,Rent,0
38,132250.0,33047,346,6,High School,Mortgage,0
58,136553.0,39782,827,11,Bachelors,Mortgage,0
55,86656.0,14833,803,25,Bachelors,Rent,0
35,91907.0,12896,321,1,PhD,Mortgage,0
45,60631.0,37972,512,26,High School,Rent,0
57,140430.0,46800,609,19,PhD,Mortgage,0
48,39029.0,35508,571,17,Bachelors,Mortgage,1
30,145733.0,10347,501,5,High School,Own,1
59,43710.0,35314,331,23,Bachelors,Mortgage,0
37,84435.0,7643,742,9,High School,Own,1
59,63872.0,45785,461,19,Bachelors,Mortgage,0
42,116809.0,23681,553,14,Masters,Rent,0
46,31302.0,43328,820,4,Masters,Rent,0
64,74917.0,20892,779,19,PhD,Mortgage,0
45,103122.0,22073,309,2,Masters,Mortgage,1
37,74917.0,41768,804,4,Bachelors,Rent,0
33,103122.0,35682,735,29,Bachelors,Mortgage,0
40,136553.0,37262,410,24,Masters,Own,0
45,22336.0,36358,452,7,PhD,Own,0
24,123677.0,19289,401,7,Masters,Own,0
30,66197.0,12927,490,7,High School,Own,0
23,60631.0,6171,380,11,High School,Own,0
61,107487.0,16918,788,23,High School,Mortgage,0
38,116646.0,46903,387,22,Masters,Mortgage,0
56,116646.0,44110,493,7,Masters,Own,0
42,60631.0,16929,403,10,Masters,Mortgage,0
54,84484.0,7539,395,13,High School,Mortgage,0
28,29446.0,41727,722,7,PhD,Own,0
60,148876.0,27669,497,28,Bachelors,Mortgage,0
64,112738.0,10432,300,29,Masters,Mortgage,0
39,116809.0,25644,706,23,PhD,Mortgage,0
62,29446.0,23745,677,27,Bachelors,Own,1
61,91324.0,33228,466,9,Bachelors,Mortgage,0
57,87506.0,39521,808,6,Bachelors,Rent,0
26,74917.0,36703,612,27,PhD,Rent,1
46,118723.0,31928,717,16,PhD,Own,0
54,86656.0,23322,776,3,High School,Rent,0
26,31302.0,27360,372,28,PhD,Own,0
57,66197.0,34055,440,12,PhD,Rent,0
53,145733.0,47891,561,3,PhD,Rent,0
42,100910.0,21376,639,4,Bachelors,Rent,1
41,116809.0,11588,607,25,Masters,Own,0
26,79379.0,30000,544,21,High School,Own,0
26,107487.0,11304,814,3,Masters,Mortgage,1
24,71356.0,12345,636,17,Masters,Own,1
50,107487.0,34300,375,5,PhD,Rent,0
31,76819.0,29259,474,23,High School,Rent,0
50,117720.0,30470,408,23,Masters,Own,0
51,49486.0,28017,482,22,Masters,Own,0
44,149038.0,20352,491,21,High School,Own,0
29,45053.0,38365,364,1,PhD,Mortgage,1
23,91907.0,24446,773,22,Masters,Rent,0
51,52265.0,7336,399,10,Bachelors,Mortgage,0
60,49486.0,14879,843,27,Masters,Mortgage,0
57,116646.0,37316,427,13,Bachelors,Rent,0
56,52154.0,38340,751,29,PhD,Rent,0
44,123677.0,12521,668,4,Masters,Own,0
51,149038.0,11171,342,5,High School,Own,0
26,43710.0,28481,718,9,High School,Mortgage,0
22,79379.0,23474,787,7,Masters,Own,0
40,74917.0,49629,377,13,PhD,Own,0
48,79379.0,26008,569,23,PhD,Rent,0
31,45053.0,6633,614,2,High School,Rent,0
24,118723.0,17485,467,11,Masters,Own,0
35,122916.0,48617,638,15,PhD,Rent,0
26,123677.0,8648,492,27,High School,Own,0
50,66197.0,18140,752,29,Bachelors,Rent,0
58,31302.0,22921,582,22,Masters,Rent,0
22,84484.0,19357,635,16,Bachelors,Rent,0
35,44519.0,8137,689,0,Bachelors,Rent,1
31,149038.0,5097,824,22,PhD,Own,0
28,79201.0,16407,539,9,PhD,Mortgage,0
46,52154.0,35575,782,24,PhD,Rent,0
64,140430.0,17722,757,22,Masters,Own,0
25,87779.0,17924,388,9,Bachelors,Own,1
26,112738.0,8750,394,20,Masters,Rent,0
46,107487.0,32733,751,23,PhD,Mortgage,0
24,84435.0,13535,727,1,Bachelors,Rent,0
39,102870.0,29487,450,8,Masters,Own,0
40,20922.0,35651,813,21,Masters,Mortgage,0
53,22336.0,9666,675,12,High School,Own,0
40,30789.0,21994,321,24,Masters,Rent,0
32,29446.0,6727,612,15,PhD,Mortgage,0
21,122916.0,39622,818,17,Masters,Own,1
46,87506.0,15800,505,18,Bachelors,Own,1
34,84484.0,42823,674,11,Masters,Own,0
58,43710.0,48039,750,7,High School,Rent,0
57,29446.0,23708,478,16,Bachelors,Mortgage,0
31,30789.0,17819,509,14,Bachelors,Rent,0
56,60631.0,14369,799,9,High School,Rent,1
33,84435.0,14283,763,14,PhD,Rent,0
63,149038.0,35573,423,14,Bachelors,Mortgage,0
23,123677.0,18171,412,22,PhD,Rent,0
53,66197.0,35933,311,6,Bachelors,Rent,0
26,52265.0,10774,425,12,Bachelors,Rent,1
30,39029.0,11519,630,16,PhD,Rent,1
25,52265.0,15983,582,8,Bachelors,Own,0
43,24018.0,35932,439,7,PhD,Rent,0
30,140430.0,35798,700,19,High School,Own,1
64,39029.0,23133,396,25,PhD,Rent,1
22,52265.0,19939,816,26,High School,Mortgage,0
33,74917.0,5781,368,20,Bachelors,Own,0
60,136553.0,32624,417,17,PhD,Own,0
22,145733.0,11823,358,12,Bachelors,Own,0
40,149038.0,23489,332,15,PhD,Own,1
21,149038.0,44961,617,8,High School,Mortgage,0
57,107487.0,34118,349,11,High School,Rent,1
29,31302.0,39881,788,11,PhD,Own,0
37,49486.0,21280,318,5,High School,Mortgage,0
29,79379.0,27263,496,18,Bachelors,Own,0
31,63872.0,18565,749,27,Bachelors,Rent,0
35,20922.0,25354,751,6,Masters,Own,0
44,140430.0,47951,588,24,High School,Mortgage,0
58,87779.0,30643,440,2,Bachelors,Rent,0
55,79201.0,28648,383,15,PhD,Mortgage,0
50,86656.0,46971,690,17,High School,Rent,0
51,116646.0,23658,514,15,Bachelors,Rent,0
25,52265.0,26253,825,22,High School,Rent,0
64,91895.0,31390,514,6,PhD,Own,0
34,102870.0,28128,702,3,Bachelors,Mortgage,0
31,71356.0,18489,427,26,Masters,Mortgage,0
29,145733.0,43314,776,24,Masters,Mortgage,0
54,43710.0,37658,703,29,High School,Rent,0
32,100910.0,11852,328,7,PhD,Own,0
55,100910.0,34450,637,12,Bachelors,Rent,0
55,24018.0,7551,660,12,PhD,Mortgage,0
21,122916.0,11411,691,16,Bachelors,Own,0
60,61157.0,38243,517,16,High School,Own,0
42,132250.0,26800,501,4,Bachelors,Own,0
49,49486.0,15403,316,5,PhD,Mortgage,0
28,66197.0,12239,621,18,PhD,Own,0
31,148876.0,11710,817,12,High School,Own,0
61,100910.0,26384,624,24,PhD,Rent,0
57,136553.0,26038,711,27,Bachelors,Rent,0
34,117720.0,45846,617,25,High School,Own,0
50,29446.0,27447,381,13,Bachelors,Own,0
55,24018.0,7285,773,21,PhD,Rent,0
41,136553.0,42991,767,3,High School,Rent,0
57,74917.0,18521,724,27,Bachelors,Rent,0
25,25408.0,11971,503,6,PhD,Mortgage,0
39,117720.0,34139,686,7,PhD,Mortgage,0
34,84484.0,24909,397,24,Masters,Rent,0
46,24018.0,16531,644,12,PhD,Own,0
24,79201.0,19721,507,26,Bachelors,Rent,0
45,122916.0,24206,813,5,High School,Mortgage,0
62,61157.0,42711,465,5,Masters,Own,0
45,82254.04771573604,11530,321,23,PhD,Mortgage,0
38,63872.0,16116,453,27,PhD,Own,0
60,107487.0,5258,738,20,PhD,Mortgage,0
28,52265.0,5282,594,29,Bachelors,Own,1
59,49486.0,18937,518,2,Masters,Own,0
60,71356.0,6898,794,27,Bachelors,Own,0
34,148876.0,9135,529,2,Masters,Own,1
52,22336.0,11629,319,12,High School,Mortgage,0
58,116809.0,48936,447,21,Bachelors,Mortgage,0
53,44519.0,24584,407,1,Bachelors,Own,0
43,31302.0,28551,702,15,High School,Own,0
35,100910.0,38380,782,21,Masters,Mortgage,0
53,91324.0,22071,666,28,PhD,Own,0
45,44519.0,25074,713,5,High School,Own,0
37,52154.0,30188,608,7,PhD,Own,0
53,44519.0,7307,433,22,PhD,Rent,1
22,107487.0,44901,582,7,High School,Own,1
34,102870.0,16205,372,29,Masters,Rent,0
60,66197.0,10906,780,24,PhD,Own,0
60,82254.04771573604,7591,651,5,High School,Mortgage,0
